NOMBRE;FECHA;LUGAR;TIPO;Record/Distancias;GANADOR/lugar de salida
GP Australia;12/03/2019;Albert Park;DeCoches;Michael Shumacher;Valtteri Bottas
10k de Alcalá;25/10/2020;Alcalá de Henares;Popular;10km;Avda.Miguel de Unamuno
IX Media Maratón Cervantina;15/03/2020;Alcalá de Henares;Popular;21km;Plaza de Cervantes
Maratón de Alcalá;25/10/2020;Alcalá de Henares;Popular;42km;Avda.Miguel de Unamuno
GP España;10/05/2019;Catalunya;DeCoches;Daniel Ricciardo;Lewis Hamilton
La tragamillas;01/03/2020;Collado Villalba;Popular;10km-21km;Ciudad Deportiva Collado Villalba
GP Canadá;14/06/2019;Gilles Villeneuve;DeCoches;Valtteri Bottas;Lewis Hamilton
Contra el cáncer;19/04/2020;Madrid;Popular;4km-10km;Paseo de la Castellana (Plaza de Colón)
GP Mónaco;24/05/2019;Montecarlo;DeCoches;Max Verstappen;Lewis Hamilton
GPBahréin;22/03/2019;Sakhir;DeCoches;Michael Shumacher;Lewis Hamilton
Media Maratón San Lorenzo del Escorial;21/06/2020;San Lorenzo del Escorial;Popular;21km;Polideportivo Zaburdon
Tractorismo RACE 2020;01/03/2020;Villamanta;Popular;4km-15km;Ayuntamiento de Villamanta
